State,Regulations
Arizona,Allowed
Colorado,Allowed
Minnesota,Allowed
Montana,Allowed
Oregon,Allowed
Tennessee,Allowed
Vermont,Allowed
Washington,Allowed
District of Columbia,Allowed
California,Banned
Kansas,Banned
Kentucky,Banned
Maryland,Banned
Missouri,Banned
North Carolina,Banned
South Carolina,Banned in House
Connecticut,Debating
Delaware,Debating
Wisconsin,Debating
Alabama,None
Alaska,None
Arkansas,None
Indiana,None
Iowa,None
Louisiana,None
Maine,None
Nebraska,None
New Hampshire,None
New York,None
Rhode Island,None
Texas,None
Utah,None
New Mexico,None
Florida,
Georgia,
Hawaii,
Idaho,
Illinois,None
Massachusetts,
Michigan,
Mississippi,
Nevada,
New Jersey,
North Dakota,
Ohio,
Oklahoma,
Pennsylvania,
South Dakota,
Virginia,
West Virginia,
Wyoming,